,Description,Target
1013,"The massive drop in U.S. private payrolls for April, reported on Wednesday, is ""not a surprise"" but employment could recover dramatically in the second half of the year if the coronavirus pandemic is controlled, St. Louis Federal Reserve president James Bullard said.",neutral
1014,"Britain's advertising watchdog has ruled Royal Dutch Shell's ad campaign on petrol pumps promising customers they can ""drive carbon neutral"" is acceptable, following complaints.",neutral
1015,Chinese e-commerce giant Alibaba Group Holding Ltd  has launched a new luxury platform targeting younger consumers that also aims to help high-end brands shed excess inventory built up during the global coronavirus lockdown.,neutral
1016,"Qatar Airways said on Wednesday it would this month start to rebuild its network, in anticipation countries will ease air travel restrictions and based on monitoring of passenger trends.",positive
1017,"Tyson Foods Inc  will resume limited production at its largest U.S. pork plant this week, the company said late on Tuesday, a week after President Donald Trump ordered companies to keep meat-processing plants open to protect the supply chain.",positive
1018,"Yum China  is betting that Chinese consumers will still choose to dine-in in the aftermath of the coronavirus crisis and plans to open more Pizza Hut and KFC outlets in China's smaller cities in the coming months, its chief executive said.",neutral
1019,"U.S. e-cigarette maker Juul Labs said on Wednesday it would end operations in South Korea, a year after it entered the market there but failed to gain traction amid government health warnings.",negative
1020,"A slew of Britain's mid-sized banks on Wednesday reported steady deposits and demand in the face of the COVID-19 pandemic, but warned it was too early to assess the long-term damage of the outbreak to their businesses.",neutral
1021,"Turkish Airlines plans a gradual resumption of flights from June and will take four months to return to near full operation, a draft plan seen by Reuters showed, as the economy reopens following a slowdown in coronavirus cases.",positive
1022,"German container line Hapag-Lloyd  is to implement cost cuts to take account of the coronavirus crisis, its chief executive Rolf Habben Jansen said on Wednesday.",neutral
1023,"Walt Disney Co estimated on Tuesday that global measures to contain the coronavirus pandemic cut profits by $1.4 billion, mostly from its shuttered theme parks, but said it would reopen Shanghai Disneyland to a reduced number of visitors next week.",negative
1024,Walt Disney Co. will kick off its strategy next week to begin restoring its lucrative parks business that has suffered $1 billion in lost profits from the coronavirus-led shutdown.,neutral
1025,The chief executive of German insurance giant Allianz said on Wednesday that 2020 will not be another record earnings year but that the company aims to maintain its dividend as it deals with the wrath of the coronavirus outbreak.,positive
1026,"Samsung Group heir Jay Y. Lee, embroiled in a bribery scandal, on Wednesday made a rare apology over controversial succession plans and said he will not hand over management rights to his children at the family-controlled conglomerate.",neutral
1027,"BMW will put investments on hold as it seeks to conserve cash to counter a fall in demand caused by the spread of the coronavirus pandemic, Chief Financial Officer Nicolas Peter said on Wednesday.",neutral
1028,"South Korea's Hyundai Motor said on Wednesday its provisional April sales fell 57% on year to 159,079 vehicles globally, as the coronavirus pandemic and efforts to curb its spread sharply contracted auto demand and dealership traffic.",negative
1029,"The founder of activist investment company Amber Capital, which lost out this week in a bid to shake up the governance at French group Lagardere , said on Wednesday he had no plans to exit his stake in Lagardere and added that he could even raise it.",neutral
1030,Britain's Metro Bank  reported a modest dip in lending in the first quarter and a 77 million pounds rise in total deposits to 14.6 billion pounds ($18.15 billion) as customers shrugged off lower fixed term deposit rates.,neutral
1031,"U.S. airlines are collectively burning more than $10 billion in cash a month and averaging fewer than two dozen passengers per domestic flight because of the coronavirus pandemic, industry trade group Airlines for America said in prepared testimony seen by Reuters ahead of a U.S. Senate hearing on Wednesday.",negative
1032,"Plant-based meat maker Impossible Foods will start selling its flagship burgers in supermarket chain Kroger Co's  1,700 stores in the United States, as it taps growing demand for vegan alternatives among home chefs.",neutral
1033,"Venerable U.S. retailer Lord & Taylor plans to liquidate inventory in its 38 department stores once restrictions to curb the spread of coronavirus are lifted as it braces for a bankruptcy process from which it does not expect to emerge, people familiar with the matter said on Tuesday.",negative
1034,"California and three of its largest cities on Tuesday sued Uber Technologies Inc and Lyft Inc, accusing them of classifying their drivers improperly as independent contractors instead of employees, evading workplace protections and withholding worker benefits.",neutral
1035,3M Co won an injunction from a federal judge against a New Jersey company it accused of illegally using its trademarks to sell 3M-branded N95 respirator masks at inflated prices to exploit the coronavirus pandemic.,neutral
1036,"United Airlines Holdings Inc plans to cut at least 3,400 management and administrative positions in October as the coronavirus pandemic crushes air travel demand, and has told pilots to brace for changes as well, according to two memos seen by Reuters.",negative
1037,"Wall Street's main indexes gained on Tuesday as healthcare stocks rallied, oil prices surged and a number of countries and U.S. states eased coronavirus-induced restrictions in an attempt to revive their economies.",positive
1038,"Plant-based burger maker Beyond Meat plans to offer large value packs and discounts to some U.S. retailers this summer, hoping to grab a greater share of the market as prices for beef rise amid production disruptions caused by the coronavirus pandemic.",positive
1039,"Video game publisher Electronic Arts Inc forecast full-year adjusted revenue above Wall Street estimates on Tuesday, riding on the broader surge in videogame sales as people shelter at home due to the COVID-19 pandemic.",positive
1040,"Mattel Inc  will have a new line of ""Baby Yoda"" toys ready to hit shelves in time for Christmas, the company said on Tuesday, even as it predicted a steep drop in second-quarter sales due to the coronavirus lockdowns.",neutral
1041,"Spirit AeroSystems Holdings  said on Tuesday it has reached an agreement with Boeing Co  to deliver 125 737 MAX shipsets to the planemaker in 2020, down from the 216 it had previously announced.",negative
1042,"Occidental Petroleum Corp on Tuesday swung to a first quarter loss on writedowns and charges, and the troubled U.S. oil producer cut its budget for the third time since March in response to a historic oil-price crash.",negative
1043,"Airbnb Inc is laying off 25% of its workforce, or nearly 1,900 employees, the home rental startup said on Tuesday, as the COVID-19 pandemic brings global travel to a near standstill.",negative
1044,"The U.S. economy could start to recover in the second half of the year after what is shaping up to be the worst recession in decades, but growth is likely to be slow and uneven, several top Federal Reserve policymakers indicated on Tuesday.",positive
1045,"Beyond Meat Inc reported better-than-expected quarterly results on Tuesday as it sold more of its plant-based meat products and cut costs on packaging and labor, sending its shares up 3% after the bell.",positive
1046,"Match Group Inc  reported quarterly revenue that fell short of Wall Street estimates on Tuesday, hit by slowing growth in its popular dating app ""Tinder"" as fewer people signed up and paid for its premium features amid the COVID-19 pandemic.",negative
1047,"A gauge of global stock markets rose on Tuesday, snapping a three-day losing streak, while oil prices soared as investors shrugged off grim economic data on hopes the easing of coronavirus lockdowns will jump start economies and revive fuel demand.",positive
1048,"BMW  on Tuesday lowered the outlook for the profitability of its automotive and motorcycles divisions, citing worse-than-expected demand which has been hit by  measures to contain the coronavirus.",negative
1049,"Lyft Inc  said on Tuesday it would expand its program that provides cheaper rides to customers willing to wait longer for their pick-ups, at a time when curbs against the coronavirus outbreak have brought its affordable shared services to a halt.",positive
1050,"Delta Air Lines  said on Tuesday it was putting a limit to seating capacity in its airplanes, as the U.S. carrier looks to provide a safe flying experience to customers amid the coronavirus crisis.",neutral
1051,"Burger King is trialling an app for ordering food and booking a table at its outlets in Italy, as it seeks to persuade locals it is safe to eat out again after more than two months of coronavirus lockdown.",neutral
1052,"Drugstore chain Walgreens Boots Alliance Inc  said it would resume standard operating hours at most of its stores across the United States, beginning Tuesday.",positive
1053,"French publishing and media group Lagardere  on Tuesday fended off Amber Capital's most daring attempt yet to shake up governance at the company, after shareholders rejected the activist investor's call to replace the supervisory board.",neutral
1054,"Chicago Federal Reserve President Charles Evans said on Tuesday it's ""reasonable"" to expect the U.S. economy to return to growth in the second half of the year, but that such an outcome is only slightly more likely than other, more pessimistic views.",neutral
1055,"The U.S. trade deficit increased by the most in more than a year in March as a record drop in exports offset a shrinking import bill, suggesting the novel coronavirus outbreak was upending the global flow of goods and services.",negative
1056,"Lufthansa  shareholders on Tuesday agreed to not distribute 298 million euros ($323 million) in retained profits as a dividend for 2019, as the airline enters the final stretch of negotiations for a 10 billion euro bailout.",neutral
1057,"Wendy's Co  said on Tuesday its restaurants may face a shortage of many menu items, including hamburgers, as beef processors in the United States struggle to keep their plants open amid the COVID-19 pandemic.",negative
1058,"American households added $155 billion of debt in the first quarter and overall debt levels rose to a new record at $14.30 trillion, the Federal Reserve Bank of New York said on Tuesday in a report that provides a snapshot of where household balance sheets stood before the coronavirus pandemic brought much of the economy to a halt.",negative
1059,Thomson Reuters  cut its full-year sales outlook due to disruption to the global economy from the coronavirus crisis on Tuesday as it reported higher quarterly sales and earnings which fell slightly short of Wall Street estimates.,neutral
1060,"White House economic adviser Kevin Hassett on Tuesday said he expects the U.S. unemployment rate was above 16% in April, as the coronavirus pandemic began to devastate the country's economy.",negative
1061,"The body representing global airlines came out in favour of passengers wearing masks onboard on Tuesday, as debate intensifies over how to get airlines flying while respecting social-distancing rules following the coronavirus crisis.",neutral
1062,The Fed noted that industries such as leisure and hospitality continued to incur losses because of the stringent lockdown measures,negative
1063,"Fiat Chrysler Automobiles (FCA) plunged to a first-quarter loss of $1.8 billion and warned of a ""significant"" loss this quarter, even as it prepares to reopen its most profitable North American truck plants on May 18 as coronavirus lockdowns ease.",negative
1064,"Virgin Atlantic is to cut just over 3,000 jobs, or up to a third of its workforce, and stop using Gatwick Airport as part of its battle to survive, Sky News reported on Tuesday.",negative
1065,A German federal court judge cast doubt on Volkswagen's  reasoning after the carmaker urged the court to dismiss a claim for damages brought by an owner of a diesel powered VW Sharan family van.,neutral
1066,"A target to reduce carbon emissions to net zero by 2050 does not mean Spanish oil and gas firm Repsol  will stop producing oil though it will focus on certain projects, Chief Executive Josu Jon Imaz said on Tuesday.",neutral
1067,"Tesla Chief Executive Elon Musk appeared to qualify on Monday for a $700 million payday, just three days after he said the electric car company's stock price was too high.",neutral
1068,Low cost airline Wizz Air  said it is planning for the easing of travel restrictions by starting new routes from Britain's London Luton airport to holiday destinations in Portugal from 16 June and to Greece from July.,neutral
1069,"Providing an outlook for the Apr-June quarter, the Fed noted on Wednesday that economic growth was going to contract sharply",negative
1070,"Nivea-maker Beiersdorf  said on Tuesday its La Prairie premium skincare brand and sun care products have been hit by the drop in international travel due to the coronavirus pandemic while sales of hand wash, hand creams and plasters jumped.",negative
1071,"Microsoft will invest $1 billion in Poland as part of a plan that will involve opening a data centre in the country to provide cloud services to businesses and government institutions, the company said in a statement on Tuesday.",positive
1072,"The government is ready to back a rescue package for Thai Airways International Pcl , but it will entail a full restructuring and there will be no second chances, the prime minister.",neutral
1073,"Hugo Boss  is seeing signs of a sales rebound in China and online, but expects the impact of the coronavirus crisis to worsen before any recovery kicks in after first quarter sales fell by 17%, which knocked its shares.",neutral
1074,BNP Paribas set aside more than half a billion euros in loan provisions on Tuesday as the coronavirus crisis wiped out the French bank's revenue from equity derivatives trading and knocked a third off its first quarter profit.,negative
1075,"Vehicle and equipment maker CNH Industrial  said on Tuesday it planned to return progressively to full operations at most of its facilities around the world by the end of May, in line with the easing of coronavirus lockdowns.",positive
1076,"Liechtenstein-based financial group LGT will be split into three separate firms in 2021, all directly held by the Prince of Liechtenstein Foundation, LGT said on Tuesday.",neutral
1077,Irish airline Aer Lingus said it was reviewing its social distancing procedures after a flight on Monday was packed with passengers.,neutral
1078,"Airline SAS said on Tuesday it had signed a 3.3 billion Swedish crown ($336 million) three-year revolving credit facility agreement, 90% guaranteed by Sweden and Denmark's governments, as it looked to beat a path through the coronavirus crisis.",neutral
1079,French carrier Air France is to require all passengers on board its flights to wear masks from May 11 to comply with French government guidelines on COVID-19 protection measures.,neutral
1080,"Europe's biggest budget airline Ryanair  posted a 99.6% fall in passenger numbers in April, while smaller low cost carrier Wizz Air  said numbers plunged 97.6%, as the novel coronavirus halted most flying across Europe.",negative
1081,Oakley and Ray-Ban maker EssilorLuxottica  reported a slump in first-quarter sales on Tuesday and warned of an even bigger hit in the current quarter as the coronavirus outbreak prompted store closures.,negative
1082,WeWork co-founder Adam Neumann filed a lawsuit against Japan's SoftBank Group Corp and its Vision Fund on Monday for terminating a $3 billion tender offer to the office-sharing startup's shareholders.,neutral
1083,"Philippine President Rodrigo Duterte has apologised for his ""hurting words"" about two tycoons whom he openly dislikes, responding to their help in fighting the coronavirus by offering an olive branch to settle a costly regulatory row.",neutral
1084,"Qantas Airways Ltd  said on Tuesday it had secured enough funding to last it through the end of next year, boosting its shares, as it reviews its fleet with the expectation that most international travel could take years to rebound.",positive
1085,"The U.S. Securities and Exchange Commission (SEC) on Monday said it would provide relief to smaller firms seeking to raise capital via online platforms to meet ""urgent funding needs"" due to the coronavirus-related disruption.",positive
1086,"Apple Inc  on Monday capitalized on the Federal Reserve's emergency measures in response to the coronavirus outbreak to issue its cheapest bonds in years, making it the latest blue-chip company to do so to fund stock buybacks and dividends.",positive
1087,"The Trump administration is ""turbocharging"" an initiative to remove global industrial supply chains from China as it weighs new tariffs to punish Beijing for its handling of the coronavirus outbreak, according to officials familiar with U.S. planning.",neutral
1088,"Chipmaker Intel Corp  has bought Israeli public transit app maker Moovit for about $900 million to help it develop self-driving ""robotaxis"" that could take to the streets in early 2022, the company said on Monday.",neutral
1089,"The dollar rose on risk aversion and global stock markets fell on Monday as U.S.-Chinese bickering over the origin of the coronavirus outbreak sparked fear of a new trade war, but Wall Street rebounded as the lifting of lockdowns in some U.S. states boosted optimism.",positive
1090,"J. Crew Group Inc filed for bankruptcy protection on Monday with a plan to hand over control to lenders, adding to a list of brick-and-mortar retailers pushed to the brink by widespread store closures in response to the COVID-19 pandemic.",negative
1091,U.S. stocks ended higher on Monday as increases in large tech and internet companies and oil price gains outweighed concerns about the latest U.S.-China tensions and downbeat sentiment from the annual meeting of Warren Buffett's Berkshire Hathaway.,positive
1092,"Major U.S. firms and trade groups want the U.S. Trade Representative's Office to waive tariffs on a wide range of Chinese-made products as a result of the coronavirus pandemic, including drones, robots, personal computers and 3D printers.",neutral
1093,"Insurer American International Group Inc  on Monday posted a 93% drop in quarterly adjusted profit, as it set aside money to cover claims related to the COVID-19 outbreak, which it called the single largest catastrophe loss the industry has ever seen.",negative
1094,"Air France-KLM's  French unions on Monday criticised calls by their Dutch counterparts for KLM to be given greater autonomy, amid signs that a multibillion-euro coronavirus bailout is increasing tensions within the airline group.",neutral
1095,"The coronavirus crisis will continue to idle U.S. meat plants and slow production, Tyson Foods Inc said on Monday, signaling more disruptions to the U.S. food supply after U.S. President Donald Trump ordered facilities to stay open.",negative
1096,Oil was up 3% on Monday as more countries announced they would begin easing coronavirus lockdowns and as crude supply cuts by the world's top producing nations and companies take hold.,positive
1097,France has rejected a request from e-commerce giant Amazon  to tap a state-funded scheme to subsidise furloughed employees at its six closed warehouses in the country.,neutral
1098,"Investors are treating the U.S. equity market’s blistering rally with a dose of caution, socking away cash, staying on the sidelines or buying insurance against a reversal even as markets scream higher in the midst of the coronavirus pandemic.",neutral
1099,"Shares of the top four U.S. airlines dropped on Monday after billionaire investor Warren Buffett said Berkshire Hathaway  offloaded its entire stake in the carriers last month, adding to the sense of crisis around the industry.",negative
1100,"Amazon  plans to extend the closure of its French warehouses until May 8 included, the e-commerce giant said on Monday.",negative
1101,Oil executive Bill Kent was with fellow managers in the Colorado board room of Resource Energy headquarters on April 20 when benchmark U.S. crude prices collapsed to minus $37 a barrel.,negative
1102,"Luxury sports car maker Ferrari  still expects to make more than $1 billion in core profit this year, providing a relative beacon of stability in an auto industry ravaged by the coronavirus crisis.",positive
1103,"The committee now sees a full-year GDP decline of 3.7%, considerably better than the 6.5% drop forecast in June.",positive
1104,"Czech carmaker Skoda Auto, part of the Volkswagen Group , reported a 25% drop in first-quarter operating profit on Monday, but said the biggest hit from the coronavirus outbreak would come in the second quarter.",negative
1105,"Wells Fargo & Co  said on Monday it has received an ""outstanding"" rating on a U.S. regulatory test for community lending between 2012 and 2018.",positive
1106,"Nissan Motor Co Ltd  will pull back from Europe and elsewhere to focus on the United States, China and Japan under a plan that represents a new strategic direction for the embattled carmaker, people with direct knowledge of the plan told Reuters.",neutral
1107,"Like the myriad approaches governments are taking to tackle the coronavirus crisis, the way the world's top banks are calculating their potential losses also differs widely, with puzzling outcomes for investors.",neutral
1108,"General Electric Co  said on Monday it was planning to cut the global workforce of its aviation unit this year by as much as 25%, or up to 13,000 jobs, including both voluntary and involuntary layoffs, citing prolonged aircraft reduction schedules caused by the coronavirus pandemic.",negative
1109,"Norwegian Air  shareholders backed its financial survival plan on Monday, with more than 95% of votes cast supporting the conversion of nearly $1 billion of debt into equity and raising more cash from its owners.",neutral
1110,"Walt Disney Co's  acquisitions spree that included swallowing much of Rupert Murdoch's 21st Century Fox last year, and a reputation for operational excellence, turned the company into the world's most powerful entertainment machine.",neutral
1111,"Shares in Spain's Telefonica SA  rose on Monday to post the only strong gains on an otherwise almost entirely red Madrid index, after the company confirmed it was in talks with billionaire John Malone's Liberty Global Plc  over a possible merger of their respective businesses in Britain.",positive
1112,"Telefonica  is in talks with billionaire John Malone's Liberty Global  to explore a merger of its British mobile operator O2 with Liberty's Virgin Media cable network company, the Spanish company said on Monday.",neutral
1113,"Texas auto dealer Hayden Elder says March was his worst month in 42 years selling cars thanks to the coronavirus, but April brought days that were ""almost normal"" and he expects bigger customer discounts to help him sell more Dodge Ram pickup trucks this month.",neutral
1114,"After growing rapidly to become Europe's third-largest low-cost airline and one of the few to apply the budget model to transatlantic flights, Norwegian Air  is fighting for its survival after racking up debts and liabilities of close to $8 billion by the end of 2019.",negative
1115,"Factory activity was ravaged across the world in April, business surveys showed, and the outlook looked bleak as government lockdowns to contain the new coronavirus pandemic froze global production and slashed demand.",negative
1116,"Uber  said on Monday it was closing down its Uber Eats operations in eight markets because they did not offer a clear route to becoming the number one or number two online food delivery operator, its stated aim for its Eats business.",negative
1117,"Peugeot carmaker PSA , one of many car companies around the world to have been hit hard by the coronavirus, said on Monday that it would gradually restart production at sites over the course of this week.",positive
1118,"Romanian carmaker Dacia, owned by France's Renault  and Ford Motor Co's  Craiova plant resumed operations on Monday after output was halted due to the coronavirus pandemic in March, they said.",positive
1119,HSBC Holdings PLC  said on Monday its insurance unit had agreed to acquire its China life insurance venture partner's 50% stake to own fully the company under the new rules on foreign ownership that came into effect in January.,neutral
1120,"South Korea's Mirae Asset Global Investments said on Monday that it has terminated a $5.8 billion deal to buy 15 U.S. hotels from China's Anbang Insurance Group, accusing the insurer of breaching contract obligations.",neutral
1121,"Mastercard  has promoted Mark Barnett to the role of president of its European business, responsible for the payment giant's strategy and operations across 53 countries.",neutral
1122,"Britain's accounting regulator said it has opened an investigation into EY's audit of NMC Health, the troubled hospital operator that was placed into administration in April.",neutral
1123,"The European Union's competition watchdog on Monday approved  French state aid worth 7 billion euros ($7.66 billion) for Air France , saying the support would provide cash to soften the economic shock of the coronavirus pandemic.",positive
1124,"British chocolatier Hotel Chocolat  has increased its banking facilities to help get it through the coronavirus crisis, it said on Monday.",neutral
1125,"India's Reliance Industries Ltd  said on Monday private equity firm Silver Lake will invest nearly $750 million in its digital arm, days after securing a $5.7 billion investment from Facebook Inc , boosting its efforts to cut debt.",positive
1126,"Citigroup Inc  has named veteran banker Kaleem Rizvi as its Asia Pacific head of the corporate banking business, according to an internal memo reviewed by Reuters on Monday.",neutral
1127,"General Motors Co's  South Korean unit plans to sharply cut output this month at a factory producing its new Trailblazer sport-utility vehicle (SUV), as the coronavirus outbreak weighs on its U.S. exports and also disrupts parts supplies.",negative
1128,"With the largest U.S. airlines now set to mandate - and provide - facial coverings for all passengers over the next two weeks, many are turning their focus to other measures to prevent the spread of the new coronavirus during air travel.",neutral
1129,"White House economic adviser Larry Kudlow said on Sunday he would not rule out anything in a new relief bill to ease the ""tremendous hardships"" of the coronavirus outbreak, including more money for state and local governments and small businesses.",neutral
1130,The ongoing U.S. travel crisis is causing thousands of job cuts as the aviation sector waits for passengers to return to the skies but braces for years of lower demand because of the coronavirus pandemic.,negative
1131,"Iceland may consider taking a stake in Icelandair Group  if the government injects funds into the airline, Bloomberg reported, citing comments by Prime Minister Katrin Jakobsdottir to a local radio station.",neutral
1132,"The United States has made over $500 billion in loans to small businesses hit hard by the coronavirus pandemic, and about $145 billion remains in the congressionally approved fund, the U.S. Small Business Administration and Treasury Department said Sunday.",neutral
1133,"General Motors' sales in China saw double-digit year-on-year growth in April, its two local ventures said on Sunday, as the world's biggest auto market recovers from the coronavirus.",positive
1134,"Roche  has won emergency approval from the U.S. Food and Drug Administration (FDA) for an antibody test to determine whether people have ever been infected with the coronavirus, the Swiss drugmaker said on Sunday.",neutral
1135,"Lufthansa is hopeful its bailout talks with the German government can be concluded soon, the airline's board told staff in a letter seen by Reuters, adding that it is also considering alternatives such as creditor protection.",neutral
1136,"A special pipe-laying vessel that could be used by Russia to complete construction of the Nord Stream 2 gas pipeline to Germany has arrived in the Baltic Sea, a Reuters witness said on Sunday.",neutral
1137,"Big Macs delivered on meal trolleys, hand sanitizers at the entrance and designated waiting spots to separate customers could become a feature of McDonald's restaurants in the Netherlands when they are allowed to reopen.",neutral
1138,"Germany's Thyssenkrupp  expects the coronavirus crisis to cause a new financial squeeze, scuppering hopes that selling its elevator business would deliver a swift cash respite for the embattled firm, its management board told staff in a letter.",negative
1139,"Chipmaker Intel Corp is in advanced talks to acquire Israeli public transit app developer Moovit for $1 billion, financial news website Calcalist reported on Sunday.",neutral
1140,"The Federal Reserve will make no change to its benchmark interest rate, the central bank announced Thursday at the conclusion of its two-day monetary policymaking meeting.",neutral
1141,"Berkshire Hathaway Inc  sold its entire stakes in the four largest U.S. airlines in April, Chairman Warren Buffett said Saturday at the company's annual meeting, saying ""the world has changed"" for the aviation industry.",neutral
1142,"Warren Buffett's Berkshire Hathaway Inc is being hit hard by the coronavirus pandemic, posting a record quarterly net loss of nearly $50 billion on Saturday and saying performance is suffering in several major operating businesses.",negative
1143,"Eager to bolster the healthcare system during the coronavirus pandemic, the U.S. government last month sped $30 billion in stimulus payments to most healthcare providers that billed Medicare last year.",positive
1144,"Germany, Italy and Spain have joined a call by 12 European Union governments for the EU's executive body to suspend rules forcing crisis-hit airlines to offer full cash refunds for cancelled flights, France said in a statement on Saturday.",positive
1145,"French bank Societe Generale expects to have to provision 3.5 billion euros to 5 billion euros ($3.84 bln-5.49 bln) this year because of losses due to the coronavirus crisis, its chief executive said in an interview on Saturday.",negative
1146,Fed sees dim economic outlook as virus squeezes economy,negative
1147,A bounce in stocks is likely to face a test in the coming weeks  as investors try to gauge whether countries and U.S. states emerging from lockdowns can arrest a sharp fall in economic growth without provoking a resurgence of coronavirus cases.,neutral
1148,"Tesla Inc  told furloughed employees on Friday that they will remain out of work for at least another week, postponing a plan to resume normal operations on May 4 at its San Francisco vehicle-assembly plant, according to an internal email.",negative
1149,"Comcast Corp  owned NBCUniversal is evaluating a significant reduction of staff across its portfolio of media and entertainment properties as part of a cost-cutting effort, the Wall Street Journal reported on Friday, citing people familiar with the matter.",negative
1150,"Uber Technologies Inc was ordered by a U.S. judge on Friday to face a lawsuit claiming its illegal predatory pricing and other anticompetitive practices stifled competition, and drove rival Sidecar Technologies Inc out of business.",neutral
1151,"JPMorgan Chase & Co said on Friday that the U.S. Small Business Administration gave it the green light to make $15 billion in new loans to some 211,000 business customers hurt by the outbreak of the novel coronavirus.",positive
1152,Fed announces massive stimulus to shield economy from coronavirus,positive
1153,"British aero-engine maker Rolls-Royce Holdings  is considering cutting up to 15% of its workforce, a source close to the company told Reuters, as customers cut production and airlines park planes due to the coronavirus pandemic.",negative
1154,Shares of Tesla Inc  tumbled 9% on Friday after Chief Executive Officer Elon Musk tweeted that the electric carmaker's high-flying stock was overly expensive.,negative
1155,"The top Republicans in the U.S. Congress displayed a united front on Friday in their drive for coronavirus-related liability protections for businesses, saying such measures will be crucial to talks about future relief legislation.",neutral
1156,"For a glimpse at how Disney recovers from the coronavirus pandemic, look no further than Shanghai, where the entertainment giant has staged a limited reopening of Shanghai Disney Resort.",positive
1157,"Exxon Mobil Corp and Chevron Corp are slamming the brakes on oil output, as the top two U.S. producers plan for combined global shut-ins of 800,000 barrels per day in response to plunging crude prices and fuel demand.",negative
1158,"Wall Street sold off sharply on Friday after President Donald Trump revived a threat of new tariffs against China in response to the COVID-19 pandemic, which has brought global economies to a grinding halt.",negative
1159,"Wall Street took a nosedive on Friday on fears that the world's two largest economies could resume a trade war, dragging down a global stocks index on a day that many financial markets were closed for a holiday.",negative
1160,ECB warns banks are ‘all over the place’ on bad loan preparations,positive
1161,"Spain's Telefonica SA  is in talks with billionaire John Malone's Liberty Global Plc  to explore a merger of its British mobile operator O2 with Liberty's Virgin Media cable network company, two sources familiar with the matter said.",neutral
1162,"The coronavirus pandemic has upended U.S. equities trading with unprecedented market volatility and forced bourses like the New York Stock Exchange to close their trading floors, raising questions about the need for such spaces.",negative
1163,"After rolling out trillions of dollars in support for the U.S. economy during the coronavirus pandemic, Federal Reserve officials have begun warning of potentially lasting scars to the workforce and productivity if the recovery is not handled well.",negative
1164,The U.S. House of Representatives Judiciary Committee on Friday called on Amazon founder Jeff Bezos to testify to the panel about allegations that the online retailer uses data from its own third-party sellers to create competing products.,neutral
1165,Industrial conglomerate 3M Co said on Friday it sued five vendors for allegedly attempting to target government officials with fraudulent offers to sell billions of nonexistent N95 respirators.,neutral
1166,"United Airlines Holdings Inc  expects to reduce its daily cash burn to below $40 million in the third quarter, even with zero passenger revenues and no additional capital raisings, and will continue taking jet deliveries this year and next, executives said on a conference call.",positive
1167,"The head of Embraer's  commercial aircraft unit defended the benefits of a $4.2 billion tie-up abandoned by Boeing Co  last week, but said the Brazilian aerospace group was focusing on its future as a re-united company.",neutral
1168,"Norwegian Air's  bondholders have turned down a proposed debt-to-equity swap, casting doubt on a plan that is vital to help the indebted airline survive the COVID-19 pandemic, although talks will still continue.",neutral
1169,"McDonald's Corp  said it would reopen 15 restaurants in the United Kingdom this month, only for delivery, leaving some fast food fans cheering.",positive
1170,"U.S. manufacturing activity plunged to an 11-year low in April as the novel coronavirus wreaked havoc on supply chains, suggesting the economy was sinking deeper into recession.",negative
1171,"Options investors are preparing for more volatility ahead despite last month's sharp rebound in U.S. stocks, reflecting doubts that markets will be quick to return to their former highs in the middle of the coronavirus pandemic.",negative
1172,Ford Motor Co  said on Friday Executive Chairman Bill Ford Jr's daughter would immediately join electric vehicle startup Rivian's board of directors.,neutral
1173,"China has headed off on Labour Day holidays but its leaders won't be resting easy. U.S. President Donald Trump has ratcheted up anti-China rhetoric again. He is threatening trade tariffs to punish Beijing for its alleged failure to contain the coronavirus, even accusing a Chinese lab of manufacturing the pathogen.",neutral
1174,"Ryanair is laying off 15% of its staff in a cost-cutting drive as coronavirus restrictions prevent a return to normal service until 2021 and rivals receive billions in state aid to get back in the air, its chief executive said on Friday.",negative
1175,"Chevron Corp  has no plans to wind down all operations or exit Venezuela, Chief Executive Officer Mike Wirth told CNBC, days after the Trump administration barred the U.S. oil major from drilling or transporting oil in the South American nation.",neutral
1176,"The U.S. government's $660 billion small business rescue program has stumbled on missing paperwork, technology failure, and the misdirection of funds to big corporations. Now, it is lurching toward another hurdle: forgiving those hastily arranged loans.",negative
1177,"U.S. President Donald Trump said on Thursday his hard-fought trade deal with China was now of secondary importance to the coronavirus pandemic and he threatened new tariffs on Beijing, as his administration crafted retaliatory measures over the outbreak.",neutral
1178,"Ryanair  aims to conclude talks with Boeing  on a new plane order in the next two weeks, but possible price cuts or cancellations related to an existing 737 MAX order are also part of the discussions, its chief executive said on Friday.",neutral
1179,"As lockdown orders force billions of people to work, learn and play from home during the novel coronavirus outbreak, usage has surged for the cloud computing services that power video conferencing, streaming television and online games.",neutral
1180,"Boeing Co  raised $25 billion in a bond offering on Thursday, a blowout result for the planemaker, which it said helped the company avoid taking government aid during the coronavirus-induced travel downturn.",neutral
1181,"Shares in British baker and takeaway food group Greggs  tumbled as much as 7.3% on Friday after it reversed a decision to re-open some stores, leading analysts to question how it can successfully emerge from the country's coronavirus lockdown.",negative
1182,Central bank chiefs upbeat on vaccine boost to global economy,positive
1183,"Amazon.com Inc has told staff whose job can be done from home that they can do so until at least Oct. 2, pushing out the timeline on a return to work for many employees as it faces scrutiny over conditions in its warehouses.",neutral
1184,"Mark, 34, quit his job as a town planner in London last year to start flight-training school, buoyed by a conditional offer of employment with budget carrier easyJet  at a time when the airline industry was desperately short of pilots.",neutral
